id,number,title,state,created_at,updated_at,closed_at,user_login,user_type,comments,labels,assignees,milestone,body_length,url,age_days,has_assignee,label_count,is_bot,month_created
4506173603,52694,Container in rootless docker cannot access AWS IMDS as of 29.0.0,open,2026-05-23 00:00:00+00:00,2026-05-23 00:06:54+00:00,,droppedbars,User,0,"status/0-triage,kind/bug,area/networking,area/rootless,version/29.5",,,5021,https://github.com/moby/moby/issues/52694,1,False,5,False,2026-05
4501634198,52688,Better image traversal mode,open,2026-05-22 09:45:23+00:00,2026-05-22 09:45:23+00:00,,vvoland,User,0,,,,790,https://github.com/moby/moby/issues/52688,1,False,0,False,2026-05
4493562131,52675,RFC: Add daemon-managed container default profiles,open,2026-05-21 09:57:31+00:00,2026-05-21 18:49:44+00:00,,vvoland,User,0,"kind/feature,area/daemon",,,1631,https://github.com/moby/moby/issues/52675,2,False,2,False,2026-05
4493510116,52674,Support `/etc/docker/daemon.json.d/`,open,2026-05-21 09:49:09+00:00,2026-05-21 18:49:53+00:00,,vvoland,User,4,"kind/feature,area/daemon",,,354,https://github.com/moby/moby/issues/52674,2,False,2,False,2026-05
4492940092,52673,Containers refuse to start on rootless setup with Loki logging driver since 29.5.0,open,2026-05-21 08:19:44+00:00,2026-05-21 09:39:23+00:00,,leonboot,User,3,"status/0-triage,kind/bug,area/rootless,version/29.5",AkihiroSuda,,5578,https://github.com/moby/moby/issues/52673,2,True,4,False,2026-05
4489992574,52671,Docker 29.5 CLONE_NEWTIME default breaks CNB lifecycle builds,open,2026-05-20 21:21:39+00:00,2026-05-21 23:09:02+00:00,,gchait,User,5,"status/0-triage,kind/feature,kind/bug,version/29.5",,29.5.3,3934,https://github.com/moby/moby/issues/52671,3,False,4,False,2026-05
4487325627,52666,bridge-accept-fwmark generated iptables rule in DOCKER-FORWARD starts at first place but is weeks later under DOCKER_BRIDGE rule,open,2026-05-20 14:28:08+00:00,2026-05-20 20:34:41+00:00,,dsteinberg111,User,1,"status/0-triage,kind/bug,area/networking,area/networking/firewalling,version/29.4",,,5323,https://github.com/moby/moby/issues/52666,3,False,5,False,2026-05
4484321474,52661,Overlay ARP stale entries still present on 29.5.0 — fix from #50236 incomplete,open,2026-05-20 07:50:06+00:00,2026-05-20 20:35:11+00:00,,koudelka-ivo,User,3,"status/0-triage,kind/bug,area/networking,area/swarm,area/networking/d/overlay,help wanted,version/29.5",,,6275,https://github.com/moby/moby/issues/52661,3,False,7,False,2026-05
4479201036,52658,CI: Cache Windows busybox image,open,2026-05-19 16:34:51+00:00,2026-05-19 16:34:51+00:00,,vvoland,User,0,"platform/windows,area/ci",,29.6.0,79,https://github.com/moby/moby/issues/52658,4,False,2,False,2026-05
4478336972,52654,"openat-error with compose, config & bind-mount: openat etc/localtime: path escapes from parent",closed,2026-05-19 14:41:51+00:00,2026-05-19 16:16:40+00:00,2026-05-19 15:44:35+00:00,StefanWetterActiware,User,2,"kind/bug,version/29.5",,,3568,https://github.com/moby/moby/issues/52654,0,False,2,False,2026-05
4477276983,52653,`docker cp` fails when target container has any file mounted with symlinked target,closed,2026-05-19 12:21:43+00:00,2026-05-19 17:58:18+00:00,2026-05-19 17:58:18+00:00,frazar,User,4,"kind/bug,status/confirmed,version/29.5",,29.5.2,4716,https://github.com/moby/moby/issues/52653,0,False,3,False,2026-05
4477119323,52652,Constraint enforcer counts completed ReplicatedJob tasks against node memory,open,2026-05-19 11:56:21+00:00,2026-05-19 14:30:06+00:00,,matyasrichter,User,1,"status/0-triage,kind/bug,area/swarm,version/29.4",,,5522,https://github.com/moby/moby/issues/52652,4,False,4,False,2026-05
4473922103,52650,"ContainerUpdate silently ignores BlkioDeviceReadBps, BlkioDeviceWriteBps, BlkioDeviceReadIOps, BlkioDeviceWriteIOps, and BlkioWeightDevice",open,2026-05-19 02:22:54+00:00,2026-05-20 17:42:48+00:00,,acouvreur,User,1,"kind/feature,help wanted",,,3501,https://github.com/moby/moby/issues/52650,5,False,2,False,2026-05
4463980456,52642,Docker only half-restores network if bridge is assigned to another firewalld zone (FIXME error in API),open,2026-05-17 15:35:22+00:00,2026-05-21 22:10:58+00:00,,sandnabba,User,7,"status/0-triage,kind/bug,area/networking,area/networking/firewalld",,,11066,https://github.com/moby/moby/issues/52642,6,False,4,False,2026-05
4462468411,52641,"rootless Docker not working after update to version 29.5.0 (`""slirp4netns"": executable file not found in $PATH`)",closed,2026-05-17 06:02:37+00:00,2026-05-18 22:09:01+00:00,2026-05-18 15:00:30+00:00,GeorgQW,User,18,"kind/question,area/docs,area/rootless,version/29.5",,,1262,https://github.com/moby/moby/issues/52641,1,False,4,False,2026-05
4459938003,52639,Installing Ubuntu packages with default builder is much slower in Docker 29.5.0,closed,2026-05-16 12:57:50+00:00,2026-05-18 09:18:04+00:00,2026-05-17 09:47:25+00:00,pjonsson,User,1,"status/0-triage,kind/bug",,,11746,https://github.com/moby/moby/issues/52639,0,False,2,False,2026-05
4454891294,52635,[lxc-user-nic] containers cannot connect to the Internet (while the daemon can),closed,2026-05-15 15:03:18+00:00,2026-05-15 16:41:20+00:00,2026-05-15 16:41:12+00:00,AkihiroSuda,User,1,"kind/question,status/0-triage,area/docs,area/networking,area/rootless",,,4177,https://github.com/moby/moby/issues/52635,0,False,5,False,2026-05
4444124478,52626,Cannot exec into rootless container with 29.5.0-RC1 (`write fsmount:fscontext:proc/thread-self/attr/apparmor/exec: no such file or directory`),closed,2026-05-14 07:37:39+00:00,2026-05-19 12:34:12+00:00,2026-05-14 14:32:03+00:00,yorickdowne,User,7,"area/security/apparmor,status/0-triage,kind/bug,area/rootless,version/29.5",,29.5.0,3956,https://github.com/moby/moby/issues/52626,0,False,5,False,2026-05
4438799435,52622,[cloudwatchlogs]awslogs driver does not support entity attributes/keyattributes,open,2026-05-13 14:41:44+00:00,2026-05-14 15:08:49+00:00,,arukiidou,User,0,"area/logging,status/0-triage,kind/feature",,,1290,https://github.com/moby/moby/issues/52622,10,False,3,False,2026-05
4432471153,52612,Installing Docker Engine on Fedora 44 breaks libvirt default network,open,2026-05-12 20:39:01+00:00,2026-05-20 12:54:52+00:00,,hardillb,User,3,"kind/bug,area/networking/firewalling,version/29.4",,,3396,https://github.com/moby/moby/issues/52612,11,False,3,False,2026-05
4431466232,52611,hcsshim::ProcessBaseLayer : access denied,closed,2026-05-12 18:02:45+00:00,2026-05-19 15:50:36+00:00,2026-05-19 15:50:36+00:00,dpvq,User,8,"platform/windows,status/0-triage,status/more-info-needed,kind/bug,version/29.4",,,6195,https://github.com/moby/moby/issues/52611,6,False,5,False,2026-05
4424746791,52607,"mount callback failed (or failed to remove mount temp dir) with docker 29.4.1, containerd 2.2.3",open,2026-05-11 22:29:56+00:00,2026-05-11 23:05:38+00:00,,kblack-site,User,0,"status/0-triage,kind/bug,area/builder/buildkit,containerd-integration,version/29.4",,,11843,https://github.com/moby/moby/issues/52607,12,False,5,False,2026-05
4423080095,52601,NRI synchronization followup,open,2026-05-11 17:57:23+00:00,2026-05-14 13:46:40+00:00,,vvoland,User,0,help wanted,,,188,https://github.com/moby/moby/issues/52601,12,False,1,False,2026-05
4416433034,52592,Runtime values are used as structured log event names or field keys,closed,2026-05-10 18:18:32+00:00,2026-05-20 05:16:01+00:00,2026-05-19 17:50:40+00:00,angrychow,User,6,"status/0-triage,kind/bug,invalid",,,2417,https://github.com/moby/moby/issues/52592,8,False,3,False,2026-05
4402589729,52578,Docker 29.4.1 - Daemon dies with panic: crypto: requested hash function #0 is unavailable,closed,2026-05-07 23:19:48+00:00,2026-05-17 21:07:46+00:00,2026-05-17 18:41:36+00:00,andrebrait,User,12,"status/0-triage,status/more-info-needed,kind/bug,version/29.4",,,3261,https://github.com/moby/moby/issues/52578,9,False,4,False,2026-05
4400111639,52570,"swarm task error reports misleading ""No such image"" when the actual cause is `unauthorized: authentication required`",open,2026-05-07 15:53:42+00:00,2026-05-20 14:12:21+00:00,,agjini,User,0,"area/distribution,area/swarm,help wanted",,,3070,https://github.com/moby/moby/issues/52570,16,False,3,False,2026-05
4399759243,52568,Figure out how to make CI faster,open,2026-05-07 15:01:17+00:00,2026-05-07 17:50:40+00:00,,vvoland,User,0,,,29.6.0,106,https://github.com/moby/moby/issues/52568,16,False,0,False,2026-05
4399753818,52567,Setup automated flaky test detector,open,2026-05-07 15:00:34+00:00,2026-05-07 17:50:53+00:00,,vvoland,User,0,area/ci,,29.6.0,165,https://github.com/moby/moby/issues/52567,16,False,1,False,2026-05
4399728902,52566,docker-py swarm panic,closed,2026-05-07 14:56:54+00:00,2026-05-14 18:17:36+00:00,2026-05-14 18:17:36+00:00,vvoland,User,0,area/swarm,,,27826,https://github.com/moby/moby/issues/52566,7,False,1,False,2026-05
4392074244,52553,docker image with EXPOSE port range cannot be pulled: invalid port since v29,open,2026-05-06 14:16:29+00:00,2026-05-06 16:11:35+00:00,,jyriaado,User,4,"status/0-triage,kind/bug,area/networking",,,4558,https://github.com/moby/moby/issues/52553,17,False,3,False,2026-05
4391634195,52551,Flaky test: TestDaemonRestartKillContainers,open,2026-05-06 13:16:45+00:00,2026-05-15 08:15:17+00:00,,vvoland,User,1,area/testing,,,0,https://github.com/moby/moby/issues/52551,17,False,1,False,2026-05
4389820156,52546,Mount subpath fails if the the target file path exists in the image,closed,2026-05-06 08:16:08+00:00,2026-05-12 17:50:58+00:00,2026-05-11 17:05:14+00:00,queil,User,6,"kind/bug,area/volumes,status/confirmed,version/29.4",,29.5.0,3853,https://github.com/moby/moby/issues/52546,5,False,4,False,2026-05
4385219442,52541,Networking broken in 29.4.2 in arm containers,closed,2026-05-05 15:23:34+00:00,2026-05-05 16:37:24+00:00,2026-05-05 15:50:00+00:00,MiloszKosobuckiKDAB,User,5,"status/0-triage,kind/bug,area/networking,area/security/seccomp,version/29.4",,,4592,https://github.com/moby/moby/issues/52541,0,False,5,False,2026-05
4384761367,52539,`docker system df` shows 265.5GB used for images without any images,open,2026-05-05 14:17:19+00:00,2026-05-21 19:12:45+00:00,,pjonsson,User,15,"area/builder,status/0-triage,kind/bug,area/builder/buildkit","tonistiigi,jsternberg",30.0.0,4796,https://github.com/moby/moby/issues/52539,18,True,4,False,2026-05
4384548725,52538,Flaky test: TestDiskUsageConcurrentPrune,closed,2026-05-05 13:45:51+00:00,2026-05-22 09:45:54+00:00,2026-05-22 09:45:54+00:00,vvoland,User,2,"area/testing,help wanted,version/29.4",,,638,https://github.com/moby/moby/issues/52538,16,False,3,False,2026-05
4368976595,52528,Add shell-friendly error output mode for scripting,closed,2026-05-02 13:09:58+00:00,2026-05-04 07:58:28+00:00,2026-05-04 07:58:28+00:00,SayanDey322,User,1,"status/0-triage,kind/feature",,,371,https://github.com/moby/moby/issues/52528,1,False,2,False,2026-05
4368970463,52527,Distinguish common and advanced flags in help output,closed,2026-05-02 13:07:38+00:00,2026-05-04 07:58:16+00:00,2026-05-04 07:58:16+00:00,SayanDey322,User,1,"status/0-triage,kind/feature",,,396,https://github.com/moby/moby/issues/52527,1,False,2,False,2026-05
4368968208,52526,CLI: improve consistency of examples across related help commands,closed,2026-05-02 13:06:45+00:00,2026-05-04 07:58:06+00:00,2026-05-04 07:58:06+00:00,SayanDey322,User,1,"status/0-triage,kind/feature",,,404,https://github.com/moby/moby/issues/52526,1,False,2,False,2026-05
4368966388,52525,CLI: improve consistency of examples across related help commands,closed,2026-05-02 13:06:01+00:00,2026-05-04 07:57:54+00:00,2026-05-04 07:57:54+00:00,SayanDey322,User,1,"status/0-triage,kind/feature",,,409,https://github.com/moby/moby/issues/52525,1,False,2,False,2026-05
4368964729,52524,CLI: add actionable recovery hints to common input errors,closed,2026-05-02 13:05:23+00:00,2026-05-04 07:57:40+00:00,2026-05-04 07:57:39+00:00,SayanDey322,User,1,"status/0-triage,kind/feature",,,419,https://github.com/moby/moby/issues/52524,1,False,2,False,2026-05
4368962920,52523,CLI: suggest nearest matching subcommand for mistyped commands,closed,2026-05-02 13:04:43+00:00,2026-05-04 07:57:27+00:00,2026-05-04 07:57:27+00:00,SayanDey322,User,1,"status/0-triage,kind/feature",,,458,https://github.com/moby/moby/issues/52523,1,False,2,False,2026-05
4368959706,52522,Inconsistent section ordering in CLI help output,closed,2026-05-02 13:03:29+00:00,2026-05-04 07:57:03+00:00,2026-05-04 07:57:02+00:00,SayanDey322,User,2,"area/cli,status/0-triage,status/more-info-needed,kind/bug,version/20.10",,,1495,https://github.com/moby/moby/issues/52522,1,False,5,False,2026-05
4368956155,52521,CLI fallback behavior is unclear when partially invalid flags are provided,closed,2026-05-02 13:02:07+00:00,2026-05-04 07:56:45+00:00,2026-05-04 07:56:45+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1713,https://github.com/moby/moby/issues/52521,1,False,2,False,2026-05
4368951211,52520,Ambiguous CLI error when required argument is omitted,closed,2026-05-02 12:59:57+00:00,2026-05-04 07:56:31+00:00,2026-05-04 07:56:31+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1528,https://github.com/moby/moby/issues/52520,1,False,2,False,2026-05
4368946552,52519,Inconsistent exit codes for similar invalid CLI invocations,closed,2026-05-02 12:57:51+00:00,2026-05-04 07:56:18+00:00,2026-05-04 07:56:18+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1563,https://github.com/moby/moby/issues/52519,1,False,2,False,2026-05
4368943234,52518,Inconsistent --help output between related CLI commands,closed,2026-05-02 12:56:10+00:00,2026-05-04 07:56:03+00:00,2026-05-04 07:56:03+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1565,https://github.com/moby/moby/issues/52518,1,False,2,False,2026-05
4368938842,52517,CLI returns non-actionable error message for invalid input,closed,2026-05-02 12:53:59+00:00,2026-05-04 07:55:52+00:00,2026-05-04 07:55:52+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1659,https://github.com/moby/moby/issues/52517,1,False,2,False,2026-05
4368933621,52516,Inconsistent error message formatting across similar CLI failure paths,closed,2026-05-02 12:51:11+00:00,2026-05-04 09:00:44+00:00,2026-05-02 12:51:25+00:00,SayanDey322,User,0,"status/0-triage,kind/bug",,,1633,https://github.com/moby/moby/issues/52516,0,False,2,False,2026-05
4368923315,52515,Example command output in README.md no longer matches current behavior,closed,2026-05-02 12:46:46+00:00,2026-05-04 07:55:36+00:00,2026-05-04 07:55:36+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1626,https://github.com/moby/moby/issues/52515,1,False,2,False,2026-05
4368919784,52514,Outdated file path reference in contributor documentation,closed,2026-05-02 12:44:48+00:00,2026-05-04 07:55:06+00:00,2026-05-04 07:55:05+00:00,SayanDey322,User,1,"status/0-triage,kind/bug",,,1714,https://github.com/moby/moby/issues/52514,1,False,2,False,2026-05
