id,number,title,state,created_at,updated_at,closed_at,user_login,user_type,comments,labels,assignees,milestone,body_length,url
4506173603,52694,Container in rootless docker cannot access AWS IMDS as of 29.0.0,open,2026-05-23T00:00:00Z,2026-05-23T00:06:54Z,,droppedbars,User,0,"status/0-triage,kind/bug,area/networking,area/rootless,version/29.5",,,5021,https://github.com/moby/moby/issues/52694
4501634198,52688,Better image traversal mode,open,2026-05-22T09:45:23Z,2026-05-22T09:45:23Z,,vvoland,User,0,,,,790,https://github.com/moby/moby/issues/52688
4493562131,52675,RFC: Add daemon-managed container default profiles,open,2026-05-21T09:57:31Z,2026-05-21T18:49:44Z,,vvoland,User,0,"kind/feature,area/daemon",,,1631,https://github.com/moby/moby/issues/52675
4493510116,52674,Support `/etc/docker/daemon.json.d/`,open,2026-05-21T09:49:09Z,2026-05-21T18:49:53Z,,vvoland,User,4,"kind/feature,area/daemon",,,354,https://github.com/moby/moby/issues/52674
4492940092,52673,Containers refuse to start on rootless setup with Loki logging driver since 29.5.0,open,2026-05-21T08:19:44Z,2026-05-21T09:39:23Z,,leonboot,User,3,"status/0-triage,kind/bug,area/rootless,version/29.5",AkihiroSuda,,5578,https://github.com/moby/moby/issues/52673
4489992574,52671,Docker 29.5 CLONE_NEWTIME default breaks CNB lifecycle builds,open,2026-05-20T21:21:39Z,2026-05-21T23:09:02Z,,gchait,User,5,"status/0-triage,kind/feature,kind/bug,version/29.5",,29.5.3,3934,https://github.com/moby/moby/issues/52671
4487325627,52666,bridge-accept-fwmark generated iptables rule in DOCKER-FORWARD starts at first place but is weeks later under DOCKER_BRIDGE rule,open,2026-05-20T14:28:08Z,2026-05-20T20:34:41Z,,dsteinberg111,User,1,"status/0-triage,kind/bug,area/networking,area/networking/firewalling,version/29.4",,,5323,https://github.com/moby/moby/issues/52666
4484321474,52661,Overlay ARP stale entries still present on 29.5.0 — fix from #50236 incomplete,open,2026-05-20T07:50:06Z,2026-05-20T20:35:11Z,,koudelka-ivo,User,3,"status/0-triage,kind/bug,area/networking,area/swarm,area/networking/d/overlay,help wanted,version/29.5",,,6275,https://github.com/moby/moby/issues/52661
4479201036,52658,CI: Cache Windows busybox image,open,2026-05-19T16:34:51Z,2026-05-19T16:34:51Z,,vvoland,User,0,"platform/windows,area/ci",,29.6.0,79,https://github.com/moby/moby/issues/52658
4478336972,52654,"openat-error with compose, config & bind-mount: openat etc/localtime: path escapes from parent",closed,2026-05-19T14:41:51Z,2026-05-19T16:16:40Z,2026-05-19T15:44:35Z,StefanWetterActiware,User,2,"kind/bug,version/29.5",,,3568,https://github.com/moby/moby/issues/52654
4477276983,52653,`docker cp` fails when target container has any file mounted with symlinked target,closed,2026-05-19T12:21:43Z,2026-05-19T17:58:18Z,2026-05-19T17:58:18Z,frazar,User,4,"kind/bug,status/confirmed,version/29.5",,29.5.2,4716,https://github.com/moby/moby/issues/52653
4477119323,52652,Constraint enforcer counts completed ReplicatedJob tasks against node memory,open,2026-05-19T11:56:21Z,2026-05-19T14:30:06Z,,matyasrichter,User,1,"status/0-triage,kind/bug,area/swarm,version/29.4",,,5522,https://github.com/moby/moby/issues/52652
4473922103,52650,"ContainerUpdate silently ignores BlkioDeviceReadBps, BlkioDeviceWriteBps, BlkioDeviceReadIOps, BlkioDeviceWriteIOps, and BlkioWeightDevice",open,2026-05-19T02:22:54Z,2026-05-20T17:42:48Z,,acouvreur,User,1,"kind/feature,help wanted",,,3501,https://github.com/moby/moby/issues/52650
4463980456,52642,Docker only half-restores network if bridge is assigned to another firewalld zone (FIXME error in API),open,2026-05-17T15:35:22Z,2026-05-21T22:10:58Z,,sandnabba,User,7,"status/0-triage,kind/bug,area/networking,area/networking/firewalld",,,11066,https://github.com/moby/moby/issues/52642
4462468411,52641,"rootless Docker not working after update to version 29.5.0 (`""slirp4netns"": executable file not found in $PATH`)",closed,2026-05-17T06:02:37Z,2026-05-18T22:09:01Z,2026-05-18T15:00:30Z,GeorgQW,User,18,"kind/question,area/docs,area/rootless,version/29.5",,,1262,https://github.com/moby/moby/issues/52641
4459938003,52639,Installing Ubuntu packages with default builder is much slower in Docker 29.5.0,closed,2026-05-16T12:57:50Z,2026-05-18T09:18:04Z,2026-05-17T09:47:25Z,pjonsson,User,1,"status/0-triage,kind/bug",,,11746,https://github.com/moby/moby/issues/52639
4454891294,52635,[lxc-user-nic] containers cannot connect to the Internet (while the daemon can),closed,2026-05-15T15:03:18Z,2026-05-15T16:41:20Z,2026-05-15T16:41:12Z,AkihiroSuda,User,1,"kind/question,status/0-triage,area/docs,area/networking,area/rootless",,,4177,https://github.com/moby/moby/issues/52635
4444124478,52626,Cannot exec into rootless container with 29.5.0-RC1 (`write fsmount:fscontext:proc/thread-self/attr/apparmor/exec: no such file or directory`),closed,2026-05-14T07:37:39Z,2026-05-19T12:34:12Z,2026-05-14T14:32:03Z,yorickdowne,User,7,"area/security/apparmor,status/0-triage,kind/bug,area/rootless,version/29.5",,29.5.0,3956,https://github.com/moby/moby/issues/52626
4438799435,52622,[cloudwatchlogs]awslogs driver does not support entity attributes/keyattributes,open,2026-05-13T14:41:44Z,2026-05-14T15:08:49Z,,arukiidou,User,0,"area/logging,status/0-triage,kind/feature",,,1290,https://github.com/moby/moby/issues/52622
4432471153,52612,Installing Docker Engine on Fedora 44 breaks libvirt default network,open,2026-05-12T20:39:01Z,2026-05-20T12:54:52Z,,hardillb,User,3,"kind/bug,area/networking/firewalling,version/29.4",,,3396,https://github.com/moby/moby/issues/52612
4431466232,52611,hcsshim::ProcessBaseLayer : access denied,closed,2026-05-12T18:02:45Z,2026-05-19T15:50:36Z,2026-05-19T15:50:36Z,dpvq,User,8,"platform/windows,status/0-triage,status/more-info-needed,kind/bug,version/29.4",,,6195,https://github.com/moby/moby/issues/52611
4424746791,52607,"mount callback failed (or failed to remove mount temp dir) with docker 29.4.1, containerd 2.2.3",open,2026-05-11T22:29:56Z,2026-05-11T23:05:38Z,,kblack-site,User,0,"status/0-triage,kind/bug,area/builder/buildkit,containerd-integration,version/29.4",,,11843,https://github.com/moby/moby/issues/52607
4423080095,52601,NRI synchronization followup,open,2026-05-11T17:57:23Z,2026-05-14T13:46:40Z,,vvoland,User,0,help wanted,,,188,https://github.com/moby/moby/issues/52601
4416433034,52592,Runtime values are used as structured log event names or field keys,closed,2026-05-10T18:18:32Z,2026-05-20T05:16:01Z,2026-05-19T17:50:40Z,angrychow,User,6,"status/0-triage,kind/bug,invalid",,,2417,https://github.com/moby/moby/issues/52592
4402589729,52578,Docker 29.4.1 - Daemon dies with panic: crypto: requested hash function #0 is unavailable,closed,2026-05-07T23:19:48Z,2026-05-17T21:07:46Z,2026-05-17T18:41:36Z,andrebrait,User,12,"status/0-triage,status/more-info-needed,kind/bug,version/29.4",,,3261,https://github.com/moby/moby/issues/52578
4400111639,52570,"swarm task error reports misleading ""No such image"" when the actual cause is `unauthorized: authentication required`",open,2026-05-07T15:53:42Z,2026-05-20T14:12:21Z,,agjini,User,0,"area/distribution,area/swarm,help wanted",,,3070,https://github.com/moby/moby/issues/52570
